TEAM_ABBREVIATION,CLOCK_PHASE,N_SHOTS,PREMATURE,EXPOSURE_PER_SHOT,MEAN_GAP
PHI,early (16–23),12189,0.08245139059808024,0.010491172044061232,-0.40016155295104555
PHX,late (0–7),9900,0.023232323232323233,0.0028430932584715515,-0.46012102807580685
PHX,middle (8–15),21905,0.07340789774024195,0.007790315818181447,-0.3470449301370587
PHX,early (16–23),13273,0.09379944247720937,0.009520597888952258,-0.398429388507429
POR,late (0–7),11072,0.029082369942196533,0.0034575162450055396,-0.41290927529166
POR,middle (8–15),23047,0.07975007593179155,0.0079839028579267,-0.3205864732373718
POR,early (16–23),11293,0.09209244664836624,0.009824189674055898,-0.35305793477538583
SAC,late (0–7),9760,0.03084016393442623,0.003665079439718088,-0.4312710442345781
SAC,middle (8–15),22095,0.0973070830504639,0.010457262760203872,-0.32124728970581135
SAC,early (16–23),12758,0.1293306160840257,0.01391919237494954,-0.35455220801075427
SAS,late (0–7),10892,0.034612559676827026,0.0035444878499009728,-0.4007267825680616
SAS,middle (8–15),22963,0.09127727213343205,0.009084533119779706,-0.29394690915859617
SAS,early (16–23),10839,0.1114493957007104,0.01079639193047882,-0.34744971632572297
TOR,late (0–7),10797,0.0357506714828193,0.004265285978233987,-0.3983008369595538
TOR,middle (8–15),20685,0.08387720570461688,0.008561164671047812,-0.31568319214938484
TOR,early (16–23),12479,0.09295616635948394,0.009908660919652559,-0.3784149518512665
UTA,late (0–7),11212,0.04174099179450589,0.005298256915875229,-0.41480020172779075
UTA,middle (8–15),21339,0.0963025446365809,0.010823498572847739,-0.3330829458013812
UTA,early (16–23),10334,0.10499322624346816,0.010783298127800635,-0.35980212120092125
WAS,late (0–7),9627,0.036252207333541085,0.003443868752689164,-0.4335397428089966
WAS,middle (8–15),22279,0.09246375510570493,0.009696149077690489,-0.32243718527345694
WAS,early (16–23),13407,0.1179980607145521,0.012771842710458874,-0.35227768071549437
