TEAM_ABBREVIATION,N_SHOTS,EXPOSURE_PER_SHOT,PREMATURE,MEAN_SECOND,SEASON
CHI,6431,0.01855376795090295,0.21909500855232467,11.580314103560877,2016
CLE,6277,0.019636480965380638,0.17779193882427913,11.557272582443842,2016
DAL,6109,0.008745898031672172,0.08479292846619742,10.537731216238337,2016
DEN,6533,0.038252911259205685,0.26756467166692177,12.027399357110056,2016
DET,6638,0.026860849220591825,0.24269358240433866,11.692979813196747,2016
GSW,6557,0.02249784468488656,0.18438310202836664,12.466066798840933,2016
HOU,6544,0.017292401968500782,0.11888753056234719,12.61919315403423,2016
IND,6303,0.02420021406076883,0.2560685387910519,11.399968269078217,2016
LAC,6098,0.014823577006367886,0.1674319448999672,11.347490980649393,2016
LAL,6538,0.013222604934881149,0.11884368308351177,12.170847353930865,2016
MEM,6133,0.01644637373747206,0.18751019077123757,10.57263981738138,2016
MIA,6388,0.023228557998033077,0.19239198497182217,11.249843456480901,2016
MIL,6063,0.016760776298979048,0.15718291274946397,11.56473692891308,2016
MIN,6342,0.019147287682559945,0.19426048565121412,11.388363292336802,2016
NOP,6547,0.02390056941280428,0.19398197647777607,12.082938750572781,2016
NYK,6573,0.019518623396278967,0.1906283280085197,11.813022972767381,2016
OKC,6623,0.015007330421673064,0.14736524233730938,12.329155971614073,2016
ORL,6503,0.01110031769681924,0.11071813009380287,11.812394279563279,2016
PHI,6399,0.015739762959672478,0.11673699015471167,12.037193311454915,2016
PHX,6631,0.013251192822611594,0.10752526014175841,12.554818277786156,2016
POR,6464,0.013077211859000234,0.13242574257425743,11.327970297029703,2016
SAC,6009,0.02168196183230348,0.1927109335996006,11.044433349975037,2016
SAS,6182,0.01845496800990931,0.21417017146554512,11.133775477191847,2016
TOR,6246,0.015024856054810602,0.18155619596541786,11.46141530579571,2016
UTA,5843,0.015066133069723368,0.1459866506931371,10.540989217867534,2016
WAS,6541,0.02607679300130739,0.2296284971716863,12.260663507109005,2016
ATL,6394,0.005640153781275477,0.05630278385986863,12.629183609634032,2017
BKN,6439,0.006041695584303804,0.062276751048299425,12.453486566236993,2017
BOS,6360,0.0053006802691767845,0.058647798742138366,12.191509433962263,2017
CHA,6391,0.005171853325368116,0.07354091691441089,12.481145360663433,2017
CHI,6659,0.0069892115046066,0.07088151374080193,12.904790509085448,2017
CLE,6340,0.007572372095611584,0.10220820189274447,12.43832807570978,2017
DAL,6448,0.004037473228709689,0.0473014888337469,11.939205955334987,2017
DEN,6410,0.007180770277653253,0.07909516380655227,12.594383775351014,2017
DET,6349,0.005099631337351523,0.06237202709088045,12.57064104583399,2017
GSW,6376,0.007332985882227328,0.09065244667503136,13.175658720200753,2017
HOU,6313,0.004439890430091547,0.04641216537303976,12.710121970536987,2017
IND,6408,0.004989134742081222,0.06850811485642946,12.33052434456929,2017
LAC,6349,0.005693838835970092,0.06851472672861868,12.68073712395653,2017
LAL,6593,0.005455321323220251,0.06628242074927954,13.300015167602002,2017
MEM,6081,0.003541648653961318,0.047196184838020065,11.928794606150305,2017
MIA,6346,0.006503427859727616,0.07721399306649858,12.029624960605105,2017
MIL,6087,0.005928559218420589,0.08099227862658123,12.59766715952029,2017
