GROUP,SECOND,N,PREDICTED,REALISED,SE,ERROR
second_chance,13,29943,0.9439100372312135,0.9796279597902682,0.006924742202522051,0.035717922559054704
second_chance,14,36786,0.9767249690125327,1.028380362094275,0.006232004488215801,0.051655393081742385
second_chance,15,7377,0.9031259889588241,0.9615019655686593,0.0137390728396533,0.05837597660983518
second_chance,16,6567,0.9046424940698068,0.9767016902695295,0.014674630952980935,0.07205919619972267
second_chance,17,5798,0.9073132577238952,0.9894791307347361,0.015581664762210996,0.082165873010841
second_chance,18,4959,0.902820746132848,0.9796329905222827,0.016884023446909528,0.07681224438943468
second_chance,19,4412,0.9043848632119259,0.9777878513145966,0.017874458918325443,0.07340298810267065
second_chance,20,4122,0.913670613562971,0.970160116448326,0.018489830941749857,0.056489502885355036
second_chance,21,4001,0.9306558738065588,0.9835041239690078,0.01876416614264047,0.052848250162448984
second_chance,22,3987,0.9596482339316734,1.0110358665663406,0.018800973315349263,0.05138763263466717
second_chance,23,4127,0.9902328133573725,1.0356190937727163,0.018585401643197417,0.04538628041534387
second_chance,24,4462,1.004468894322195,1.0320484087852981,0.01777984030619722,0.027579514463103028
