SEASON,TEAM,BLOCK,PREMATURE,N_SHOTS,MEAN_SHOT_VALUE,MEAN_SECOND,PPP,N_POSS,NEXT_BLOCK,NEXT_PPP,NEXT_N_POSS
2018,GSW,2,0.07648073605520414,1739,1.2864901669977689,12.299022426682,1.2544596012591815,1906,3,1.163243812532912,1899
2018,HOU,0,0.053103007037747924,1563,1.2855940932185461,11.495201535508638,1.146067415730337,1780,1,1.1781354051054385,1802
2018,HOU,1,0.05175718849840256,1565,1.2818473935669843,11.210223642172524,1.1781354051054385,1802,2,1.2071926999463232,1863
2018,HOU,2,0.05405405405405406,1665,1.2605366901201,11.502102102102102,1.2071926999463232,1863,3,1.1907608695652174,1840
2018,IND,0,0.07495315427857589,1601,1.2168291637130804,11.803247970018738,1.123545706371191,1805,1,1.146448087431694,1830
2018,IND,1,0.06592729513247074,1623,1.233894133355906,11.605668515095502,1.146448087431694,1830,2,1.1379498364231189,1834
2018,IND,2,0.060072815533980584,1648,1.2343349992524666,11.783980582524272,1.1379498364231189,1834,3,1.1039248203427308,1809
2018,LAC,0,0.05111244738424534,1663,1.2368059987831326,11.892964521948286,1.1525773195876288,1940,1,1.1442006269592477,1914
2018,LAC,1,0.05318491032776747,1617,1.2374407852941538,11.854050711193569,1.1442006269592477,1914,2,1.131104033970276,1884
2018,LAC,2,0.062143310082435003,1577,1.2359675130738936,12.095751426759671,1.131104033970276,1884,3,1.1654526534859522,1922
2018,LAL,0,0.03596698113207547,1696,1.2754165831532263,12.579599056603774,1.0995382247306311,1949,1,1.0828220858895705,1956
2018,LAL,1,0.0357355568790947,1679,1.2548633878425342,12.394877903513997,1.0828220858895705,1956,2,1.102577319587629,1940
2018,LAL,2,0.052002390914524806,1673,1.2463017744820362,12.242677824267782,1.102577319587629,1940,3,1.104461942257218,1905
2018,MEM,0,0.04627766599597585,1491,1.2194271576225857,10.334674714956405,1.0999435347261435,1771,1,1.0518894529046814,1773
2018,MEM,1,0.044444444444444446,1485,1.2252753713319098,10.880134680134681,1.0518894529046814,1773,2,1.0738028169014084,1775
2018,MEM,2,0.04768041237113402,1552,1.2100844863097762,11.068298969072165,1.0738028169014084,1775,3,1.1325818572195383,1863
2018,MIA,0,0.07683073229291716,1666,1.228654709751081,11.870948379351741,1.0884389984017049,1877,1,1.1272727272727272,1760
2018,MIA,1,0.07134146341463414,1640,1.2239048296801978,11.070121951219512,1.1272727272727272,1760,2,1.1103641456582634,1785
2018,MIA,2,0.07657657657657657,1554,1.2192415859102057,11.125482625482626,1.1103641456582634,1785,3,1.1091314031180401,1796
2018,MIL,0,0.04991294254207777,1723,1.292230892363388,12.522925130586186,1.180605438686506,1949,1,1.1326315789473684,1900
2018,MIL,1,0.055222088835534214,1666,1.275625534830363,12.20888355342137,1.1326315789473684,1900,2,1.1692065160273253,1903
2018,MIL,2,0.043969102792632206,1683,1.2873261883637335,12.53475935828877,1.1692065160273253,1903,3,1.179929042067917,1973
