TEAM_ABBREVIATION,SHOT_FAMILY,CLOCK_PHASE,POSSESSION_CONTEXT,N_SHOTS,PREMATURE,EXPOSURE_PER_SHOT,TOTAL_EXPOSURE,MEAN_SHOT_VALUE,LEAGUE_N,LEAGUE_EXPOSURE,TEAM_SHOTS,TEAM_EXPOSURE,SHOT_SHARE,EXPOSURE_SHARE,EXPECTED_TOTAL_EXPOSURE
DAL,mid-range,late (0–7),second chance,88,0.022727272727272728,0.0008929955016568259,0.07858360414580068,0.9555271454687181,2573,0.0020484346194213784,44188,268.52873686209784,0.001991490902507468,0.0002926450444898084,0.1802622465090813
DAL,mid-range,late (0–7),turnover attack,205,0.004878048780487805,0.00020406760017505917,0.04183385803588713,0.9618404686666853,5618,0.001703101156536643,44188,268.52873686209784,0.004639268579704897,0.0001557891290322897,0.34913573709001183
DAL,mid-range,middle (8–15),after a score,1883,0.16728624535315986,0.008901338162187243,16.76121975939858,0.9666415455647462,59116,0.009230823245253882,44188,268.52873686209784,0.0426133791979723,0.06241871896193462,17.38164017081306
DAL,mid-range,middle (8–15),other dead ball,449,0.24721603563474387,0.017499073649274863,7.857084068524413,0.9391809012559337,11785,0.017592352363402647,44188,268.52873686209784,0.010161129718475605,0.029259751341099094,7.898966211167789
DAL,mid-range,middle (8–15),rebound push,1239,0.21711057304277642,0.010743129645349837,13.310737630588447,0.9583414392433552,34308,0.01320737556514952,44188,268.52873686209784,0.028039286684167646,0.04956913657037808,16.363938325220253
DAL,mid-range,middle (8–15),second chance,189,0.25925925925925924,0.016576400944016443,3.1329397784191078,0.9502598712618322,6250,0.01419988631121416,44188,268.52873686209784,0.004277179324703539,0.011667055880235344,2.6837785128194764
DAL,mid-range,middle (8–15),turnover attack,437,0.20823798627002288,0.010319011988421264,4.509408238940092,0.9567781753216916,12275,0.012774855296131201,44188,268.52873686209784,0.009889562777224586,0.016793019218855097,5.582611764409335
DAL,mid-range,early (16–23),after a score,146,0.3013698630136986,0.026566906326841114,3.878768323718803,0.9916626738746366,6626,0.020990360954200912,44188,268.52873686209784,0.00330406445188739,0.014444518560822536,3.0645926993133332
DAL,mid-range,early (16–23),other dead ball,103,0.5242718446601942,0.042143585200981167,4.34078927570106,0.9466947389827459,3632,0.03569070903022185,44188,268.52873686209784,0.002330949579071241,0.016165082837783055,3.67614303011285
DAL,mid-range,early (16–23),rebound push,512,0.267578125,0.017244068615649012,8.828963131212294,1.0026443308768545,18399,0.020208350650541707,44188,268.52873686209784,0.01158685616004345,0.03287902529309696,10.346675533077354
DAL,mid-range,early (16–23),second chance,185,0.5891891891891892,0.03802145241909531,7.033968697532632,0.9614021261262583,5438,0.039655743631359645,44188,268.52873686209784,0.0041866570109532,0.026194472814076903,7.3363125718015345
DAL,mid-range,early (16–23),turnover attack,91,0.4065934065934066,0.025686822335830126,2.3375008325605413,1.0153871291369105,3273,0.021689207581074777,44188,268.52873686209784,0.0020593826378202226,0.008704844255685596,1.9737178898778047
DAL,other,late (0–7),after a score,1,1.0,0.5015924799421894,0.5015924799421894,0.2231182883758171,13,,44188,268.52873686209784,2.2630578437584864e-05,0.0018679284973502882,
DAL,other,late (0–7),rebound push,2,1.0,0.47890355134577844,0.9578071026915569,0.2231182883758171,10,,44188,268.52873686209784,4.526115687516973e-05,0.0035668700262178493,
DAL,paint (non-RA),late (0–7),after a score,1166,0.07375643224699828,0.008278886585476127,9.653181758665164,1.0319820716770953,34630,0.012700564811662521,44188,268.52873686209784,0.02638725445822395,0.035948412343005685,14.808858570398499
DAL,paint (non-RA),late (0–7),other dead ball,232,0.09482758620689655,0.009675009829820093,2.2446022805182615,1.004365144692285,7248,0.010104988280229639,44188,268.52873686209784,0.005250294197519689,0.008358890399395021,2.3443572810132762
DAL,paint (non-RA),late (0–7),rebound push,452,0.05752212389380531,0.007654378267528643,3.4597789769229466,1.0216746699299286,11060,0.015217063988591456,44188,268.52873686209784,0.010229021453788359,0.012884203818750713,6.878112922843338
DAL,paint (non-RA),late (0–7),second chance,84,0.07142857142857142,0.005553667503047542,0.4665080702559935,1.0137076462588428,2713,0.010103361481748192,44188,268.52873686209784,0.0019009685887571286,0.0017372742884332985,0.8486823644668481
DAL,paint (non-RA),late (0–7),turnover attack,208,0.09134615384615384,0.010505095564456491,2.18505987740695,1.0119409162011048,5206,0.015698449223662616,44188,268.52873686209784,0.004707160315017652,0.00813715471550846,3.265277438521824
DAL,paint (non-RA),middle (8–15),after a score,1648,0.14320388349514562,0.02155893922382194,35.529131840858554,1.0613922626411447,53931,0.02844624805676054,44188,268.52873686209784,0.03729519326513986,0.13231035253818826,46.879416797541374
DAL,paint (non-RA),middle (8–15),other dead ball,337,0.16023738872403562,0.027004807392643042,9.100620091320705,1.0327781030829166,9624,0.033404863515880075,44188,268.52873686209784,0.0076265049334661,0.03389067478462948,11.257439004851586
DAL,paint (non-RA),middle (8–15),rebound push,1075,0.16,0.025661278159635266,27.58587402160791,1.0440114918570604,32822,0.032959406317193386,44188,268.52873686209784,0.02432787182040373,0.10272969047545387,35.43136179098289
DAL,paint (non-RA),middle (8–15),second chance,205,0.15121951219512195,0.025619173837050844,5.251930636595423,1.045952062943518,7538,0.02877018277862828,44188,268.52873686209784,0.004639268579704897,0.01955816981812467,5.897887469618798
DAL,paint (non-RA),middle (8–15),turnover attack,354,0.1440677966101695,0.025297047164861496,8.95515469636097,1.041849101214888,11228,0.03156854800129544,44188,268.52873686209784,0.008011224766905042,0.03334896220421974,11.175265992458584
DAL,paint (non-RA),early (16–23),after a score,140,0.14285714285714285,0.025364855187711054,3.5510797262795477,1.1213012402976643,6380,0.03730405591916841,44188,268.52873686209784,0.003168280981261881,0.013224207463885678,5.2225678286835775
DAL,paint (non-RA),early (16–23),other dead ball,56,0.23214285714285715,0.03431637250965549,1.9217168605407076,1.057346923472462,2153,0.04870651855549135,44188,268.52873686209784,0.0012673123925047525,0.007156466317151001,2.7275650391075157
DAL,paint (non-RA),early (16–23),rebound push,553,0.20433996383363473,0.03289373073564998,18.19023309681444,1.0850696744647461,21284,0.0405823070642736,44188,268.52873686209784,0.01251470987598443,0.06774035922328857,22.4420158065433
DAL,paint (non-RA),early (16–23),second chance,121,0.24793388429752067,0.04309347920350745,5.214310983624402,1.0674725852514508,5265,0.05486110841304818,44188,268.52873686209784,0.0027382999909477687,0.019418074372807986,6.63819411797883
DAL,paint (non-RA),early (16–23),turnover attack,117,0.1623931623931624,0.02408434136518264,2.817867939726369,1.1213397940065193,4704,0.04263414850085676,44188,268.52873686209784,0.0026477776771974292,0.010493729545130497,4.988195374600242
DAL,rim,late (0–7),after a score,1258,0.014308426073131956,0.0037595913236376454,4.729565885136158,1.4070976457885385,41090,0.003322965709581713,44188,268.52873686209784,0.028469267674481758,0.017612885460244105,4.180290862653795
DAL,rim,late (0–7),other dead ball,229,0.0,0.0,0.0,1.4575221642437601,7953,0.002359383082515829,44188,268.52873686209784,0.005182402462206934,0.0,0.5402987258961248
DAL,rim,late (0–7),rebound push,451,0.0066518847006651885,0.001518035243760902,0.6846338949361668,1.416372003394726,13518,0.003873904942650122,44188,268.52873686209784,0.010206390875350774,0.0025495740341852447,1.747131129135205
DAL,rim,late (0–7),second chance,111,0.009009009009009009,0.000623369895496603,0.06919405840012294,1.4258208933261243,3903,0.0016886623877104521,44188,268.52873686209784,0.00251199420657192,0.0002576784116616068,0.18744152503586017
DAL,rim,late (0–7),turnover attack,187,0.016042780748663103,0.0025183124144753425,0.47092442150688907,1.4190163725867135,6300,0.0027858161705283783,44188,268.52873686209784,0.00423191816782837,0.0017537207637807902,0.5209476238888068
DAL,rim,middle (8–15),after a score,2311,0.04586758978797058,0.006654077566842892,15.377573256973923,1.4735246499338452,80264,0.006276070530141061,44188,268.52873686209784,0.05229926676925862,0.05726602462242628,14.503998995155992
DAL,rim,middle (8–15),other dead ball,429,0.04428904428904429,0.005341240411087631,2.2913921363565937,1.48255877323683,13325,0.00717740353863139,44188,268.52873686209784,0.009708518149723906,0.008533135645490826,3.0791061180728665
DAL,rim,middle (8–15),rebound push,1536,0.047526041666666664,0.005556034576198952,8.53406910904159,1.4447850319297035,48083,0.007346732546098074,44188,268.52873686209784,0.03476056848013035,0.0317808410703702,11.284581190806641
DAL,rim,middle (8–15),second chance,1077,0.02321262766945218,0.0015034210298488534,1.6191844491472152,1.4369889407881704,36772,0.002271262334085996,44188,268.52873686209784,0.0243731329772789,0.006029836761861144,2.4461495338106176
DAL,rim,middle (8–15),turnover attack,510,0.029411764705882353,0.0022689032490208275,1.157140657000622,1.4879921621101737,17089,0.006075804770359153,44188,268.52873686209784,0.011541595003168282,0.00430918742821506,3.098660432883168
DAL,rim,early (16–23),after a score,420,0.06904761904761905,0.005080151722447739,2.1336637234280507,1.4775509572423622,16978,0.007446752802776915,44188,268.52873686209784,0.009504842943785643,0.007945755632566758,3.1276361771663046
DAL,rim,early (16–23),other dead ball,145,0.11724137931034483,0.01678526285885099,2.4338631145333935,1.448428824515333,4068,0.01363511546828802,44188,268.52873686209784,0.0032814338734498054,0.009063697029131363,1.9770917429017627
DAL,rim,early (16–23),rebound push,1655,0.056797583081571,0.0048521140990024055,8.030248833848981,1.4986042658554184,67256,0.007182983062180963,44188,268.52873686209784,0.03745360731420295,0.029904616271937003,11.887836967909493
DAL,rim,early (16–23),second chance,537,0.0856610800744879,0.007317501987648844,3.929498567367429,1.4479875501567414,24145,0.0127614196941752,44188,268.52873686209784,0.012152620620983072,0.01463343779621401,6.852882375772082
DAL,rim,early (16–23),turnover attack,969,0.0412796697626419,0.004874589509763958,4.723477234961275,1.6066475258637547,39844,0.0037397852803434514,44188,268.52873686209784,0.021929030506019735,0.017590211350031425,3.6238519366528044
DAL,three,late (0–7),after a score,2377,0.00042069835927639884,2.8121602231317153e-05,0.06684504850384088,1.2684006979298201,60211,6.620861986211196e-05,44188,268.52873686209784,0.05379288494613922,0.00024893070769617094,0.15737788941224012
DAL,three,late (0–7),other dead ball,524,0.0019083969465648854,0.00030293309235826873,0.15873694039573283,1.2567927192662867,11441,8.102951376710335e-05,44188,268.52873686209784,0.01185842310129447,0.0005911357653957599,0.042459465213962155
DAL,three,late (0–7),rebound push,964,0.001037344398340249,1.823555642065267e-05,0.017579076389509174,1.2406253805176457,20544,8.273088640251868e-05,44188,268.52873686209784,0.02181587761383181,6.54644139578136e-05,0.07975257449202801
DAL,three,late (0–7),second chance,244,0.0,0.0,0.0,1.237418347370349,5203,0.00014020920454352797,44188,268.52873686209784,0.005521861138770707,0.0,0.03421104590862083
DAL,three,late (0–7),turnover attack,346,0.0,0.0,0.0,1.2518171907748357,8394,3.886883828135605e-05,44188,268.52873686209784,0.007830180139404364,0.0,0.013448618045349192
DAL,three,middle (8–15),after a score,4098,0.0007320644216691069,2.4090997111089654e-05,0.09872490616124541,1.2597475963681302,109627,2.727384872646845e-05,44188,268.52873686209784,0.09274011043722277,0.0003676511769835096,0.1117682320810677
DAL,three,middle (8–15),other dead ball,735,0.0,0.0,0.0,1.2440274574450654,17995,0.000119845929478456,44188,268.52873686209784,0.016633475151624874,0.0,0.08808675816666516
DAL,three,middle (8–15),rebound push,2622,0.0007627765064836003,7.5382918677156485e-06,0.01976540127715043,1.2585671224699544,61834,1.0404584197921159e-05,44188,268.52873686209784,0.05933737666334751,7.3606279566648e-05,0.02728081976694928
DAL,three,middle (8–15),second chance,736,0.002717391304347826,0.0002563038253622449,0.18863961546661223,1.256465297396922,19491,0.00013549020140558147,44188,268.52873686209784,0.01665610573006246,0.000702493214212256,0.09972078823450796
DAL,three,middle (8–15),turnover attack,905,0.0,0.0,0.0,1.2525849820629964,22045,1.0410916405124238e-05,44188,268.52873686209784,0.020480673486014303,0.0,0.009421879346637435
DAL,three,early (16–23),after a score,585,0.0,0.0,0.0,1.25772283180064,21578,0.00010644479590490595,44188,268.52873686209784,0.013238888385987146,0.0,0.06227020560436998
DAL,three,early (16–23),other dead ball,192,0.0,0.0,0.0,1.2626135542969914,5022,0.00031789892876931915,44188,268.52873686209784,0.004345071060016294,0.0,0.06103659432370928
DAL,three,early (16–23),rebound push,2379,0.0004203446826397646,6.886152135894632e-06,0.01638215593129333,1.277982916339905,72214,2.1681045396897346e-05,44188,268.52873686209784,0.05383814610301439,6.100708670039415e-05,0.05157920699921879
DAL,three,early (16–23),second chance,516,0.0,0.0,0.0,1.2736653363324757,13045,0.0002206650063292304,44188,268.52873686209784,0.01167737847379379,0.0,0.11386314326588289
DAL,three,early (16–23),turnover attack,633,0.0,0.0,0.0,1.2922475198667165,18922,1.8362996595510883e-05,44188,268.52873686209784,0.01432515615099122,0.0,0.011623776844958389
DEN,mid-range,late (0–7),after a score,1132,0.05653710247349823,0.003547480747496786,4.015748206166362,0.9457519741695393,37774,0.0013628006063988987,44581,522.2840105031128,0.02539198313182746,0.007688820881761281,1.5426902864435534
DEN,mid-range,late (0–7),other dead ball,239,0.04602510460251046,0.0034570595364708367,0.82623722921653,0.9262592649245737,7164,0.0014651568720382769,44581,522.2840105031128,0.005361028240730356,0.0015819692209620222,0.35017249241714815
DEN,mid-range,late (0–7),rebound push,398,0.08542713567839195,0.004503842767576835,1.79252942149558,0.9162222913230942,13361,0.001897253901621738,44581,522.2840105031128,0.008927570041048877,0.003432097068736315,0.7551070528454518
DEN,mid-range,late (0–7),second chance,92,0.10869565217391304,0.0046679385854293785,0.4294503498595028,0.9206526076961343,2573,0.0020484346194213784,44581,522.2840105031128,0.00206365940647361,0.0008222544462845342,0.1884559849867668
DEN,mid-range,late (0–7),turnover attack,180,0.05,0.0016290922752746097,0.29323660954942976,0.9488647687522928,5618,0.001703101156536643,44581,522.2840105031128,0.004037594490926628,0.000561450482213608,0.30655820817659574
DEN,mid-range,middle (8–15),after a score,1777,0.3404614518851998,0.020080461273984024,35.68297968386961,0.9533443586439931,59116,0.009230823245253882,44581,522.2840105031128,0.03986003005764788,0.06832102642678345,16.40317290681615
DEN,mid-range,middle (8–15),other dead ball,369,0.43089430894308944,0.032751660561782255,12.085362747297653,0.925165807042313,11785,0.017592352363402647,44581,522.2840105031128,0.008277068706399587,0.023139446171549272,6.4915780220955766
DEN,mid-range,middle (8–15),rebound push,948,0.41561181434599154,0.027527929699370374,26.096477355003113,0.9432751687970073,34308,0.01320737556514952,44581,522.2840105031128,0.02126466431888024,0.04996606602960054,12.520592035761744
DEN,mid-range,middle (8–15),second chance,236,0.4364406779661017,0.029741280078538143,7.0189420985350015,0.9344993549207715,6250,0.01419988631121416,44581,522.2840105031128,0.005293734999214912,0.01343893735474249,3.351173169446542
DEN,mid-range,middle (8–15),turnover attack,326,0.401840490797546,0.02914877941572607,9.502502089526699,0.9420915526385913,12275,0.012774855296131201,44581,522.2840105031128,0.0073125322446782265,0.018194127904419283,4.164602826538771
DEN,mid-range,early (16–23),after a score,187,0.45989304812834225,0.032280655335551765,6.03648254774818,0.9864515553059617,6626,0.020990360954200912,44581,522.2840105031128,0.004194612054462664,0.011557854397903692,3.9251974984355704
DEN,mid-range,early (16–23),other dead ball,114,0.631578947368421,0.05597514027002357,6.381165990782687,0.937515524518133,3632,0.03569070903022185,44581,522.2840105031128,0.0025571431775868645,0.012217808438431328,4.06874082944529
DEN,mid-range,early (16–23),rebound push,464,0.4956896551724138,0.03957308965787262,18.361913601252898,0.9741005422754915,18399,0.020208350650541707,44581,522.2840105031128,0.010408021354388642,0.03515695145169194,9.376674701851352
DEN,mid-range,early (16–23),second chance,131,0.6641221374045801,0.05702508846093442,7.470286588382408,0.9535251520544531,5438,0.039655743631359645,44581,522.2840105031128,0.0029384715461743794,0.014303111790051413,5.194902415708113
DEN,mid-range,early (16–23),turnover attack,82,0.4024390243902439,0.03221709093280139,2.641801456489714,0.9975151008103238,3273,0.021689207581074777,44581,522.2840105031128,0.0018393486014221306,0.005058170273956662,1.7785150216481318
DEN,other,late (0–7),after a score,2,1.0,0.419950683124802,0.839901366249604,0.2469778321933441,13,,44581,522.2840105031128,4.486216101029587e-05,0.0016081314942813058,
DEN,other,late (0–7),rebound push,1,1.0,0.4743327644501895,0.4743327644501895,0.2231182883758171,10,,44581,522.2840105031128,2.2431080505147934e-05,0.0009081893278587408,
DEN,other,middle (8–15),other dead ball,1,1.0,0.5550273958015485,0.5550273958015485,0.34165124372663214,5,,44581,522.2840105031128,2.2431080505147934e-05,0.0010626926818358736,
DEN,paint (non-RA),late (0–7),after a score,1298,0.11171032357473036,0.014776420987268224,19.179794441474154,1.0485086874604874,34630,0.012700564811662521,44581,522.2840105031128,0.029115542495682017,0.03672292096975817,16.485333125537952
DEN,paint (non-RA),late (0–7),other dead ball,298,0.06375838926174497,0.008763662465581964,2.611571414743425,1.0559962148637836,7248,0.010104988280229639,44581,522.2840105031128,0.006684461990534084,0.005000289808274458,3.0112865075084323
DEN,paint (non-RA),late (0–7),rebound push,393,0.13740458015267176,0.019300705082902537,7.585177097580697,1.020127483103314,11060,0.015217063988591456,44581,522.2840105031128,0.008815414638523138,0.014523088865527294,5.980306147516442
DEN,paint (non-RA),late (0–7),second chance,90,0.15555555555555556,0.01468483818417263,1.3216354365755367,1.016880427423692,2713,0.010103361481748192,44581,522.2840105031128,0.002018797245463314,0.0025304918588306274,0.9093025333573372
DEN,paint (non-RA),late (0–7),turnover attack,171,0.14619883040935672,0.02173152197114381,3.716090257065592,1.0210348792964004,5206,0.015698449223662616,44581,522.2840105031128,0.0038357147663802965,0.007115075672115457,2.6844348172463075
DEN,paint (non-RA),middle (8–15),after a score,1822,0.17618002195389681,0.033092044529581255,60.293705132897045,1.0666193160474522,53931,0.02844624805676054,44581,522.2840105031128,0.04086942868037954,0.11544237219672207,51.82906395941771
DEN,paint (non-RA),middle (8–15),other dead ball,374,0.20588235294117646,0.030289458332051395,11.328257416187222,1.0502890544678591,9624,0.033404863515880075,44581,522.2840105031128,0.008389224108925328,0.0216898415198941,12.493418954939148
DEN,paint (non-RA),middle (8–15),rebound push,1172,0.18686006825938567,0.03351164046195193,39.27564262140766,1.0625477376661003,32822,0.032959406317193386,44581,522.2840105031128,0.026289226352033377,0.07519977987373899,38.62842420375065
DEN,paint (non-RA),middle (8–15),second chance,280,0.2392857142857143,0.034963218757036535,9.78970125197023,1.0558000698562557,7538,0.02877018277862828,44581,522.2840105031128,0.006280702541441421,0.018744018685427254,8.05565117801592
DEN,paint (non-RA),middle (8–15),turnover attack,377,0.2493368700265252,0.04174213187420737,15.736783716576179,1.028932642623339,11228,0.03156854800129544,44581,522.2840105031128,0.00845651735044077,0.030130701687415315,11.90134259648838
DEN,paint (non-RA),early (16–23),after a score,173,0.27167630057803466,0.0470309713938409,8.136358051134476,1.0754038278219977,6380,0.03730405591916841,44581,522.2840105031128,0.0038805769273905924,0.015578416891025968,6.453601674016135
DEN,paint (non-RA),early (16–23),other dead ball,82,0.36585365853658536,0.059658778742107836,4.892019856852842,1.006301351964168,2153,0.04870651855549135,44581,522.2840105031128,0.0018393486014221306,0.009366589362252143,3.993934521550291
DEN,paint (non-RA),early (16–23),rebound push,652,0.2960122699386503,0.05083943338878555,33.14731056948818,1.0664220975423973,21284,0.0405823070642736,44581,522.2840105031128,0.014625064489356453,0.06346606425411644,26.459664205906385
DEN,paint (non-RA),early (16–23),second chance,181,0.32044198895027626,0.06158709502388286,11.147264199322798,1.088307877594592,5265,0.05486110841304818,44581,522.2840105031128,0.004060025571431776,0.02134329976631816,9.929860622761721
DEN,paint (non-RA),early (16–23),turnover attack,166,0.24096385542168675,0.03594054374014155,5.966130260863498,1.131198452610773,4704,0.04263414850085676,44581,522.2840105031128,0.0037235593638545567,0.011423153190380772,7.077268651142223
DEN,rim,late (0–7),after a score,1523,0.03151674326986211,0.003692792028768571,5.624122259814534,1.3422075600743741,41090,0.003322965709581713,44581,522.2840105031128,0.0341625356093403,0.010768321730540542,5.060876775692949
DEN,rim,late (0–7),other dead ball,312,0.02564102564102564,0.0030271193936328156,0.9444612508134385,1.3669786284351544,7953,0.002359383082515829,44581,522.2840105031128,0.006998497117606155,0.0018083288628798825,0.7361275217449386
