SEASON,TEAM_ABBREVIATION,TEAM_ID,OVERLAP,PRIOR_QUALITY,TEAM_FGA,TEAM_PTS_FG,TEAM_XPTS,N_CORE,FGA,FTA,TOV,ORB,FGM,FTM,POSS,ORTG_FG,PTS_PER_FGA,PTS_VS_XPTS
2019,TOR,,0.9267232760222612,1.0896979733436911,6004,6495,6724.752216052103,8,6131,1666,1009,859,2819,1317,7014.04,92.59998517259667,1.0817788141239173,-0.03826652499202248
2019,UTA,,0.8716966240401605,1.0910328925365498,5947,6571,6382.531715810043,8,6037,1653,1043,857,2848,1284,6950.32,94.54240955812107,1.1049268538759038,0.03169132069782355
2019,WAS,,0.9150603777815185,1.0492461143802132,6356,6706,6711.312804779927,8,6438,1797,1072,930,2948,1413,7370.68,90.98210748533377,1.0550660792951543,-0.0008358723694032912
2020,ATL,,0.8424685501063226,1.1178779612879,6036,6578,6517.888423964349,8,6176,1762,871,948,2900,1417,6874.28,95.69002135496373,1.089794565937707,0.009958842948252255
2020,BKN,,0.9158285642121177,1.1023854465633884,6069,7027,6847.879342015452,8,6191,1626,963,814,3063,1290,7055.4400000000005,99.59690678398512,1.1578513758444555,0.0295140316336379
2020,BOS,,0.9124311995330492,1.096478100224216,6173,6763,6467.63481137453,8,6313,1498,1014,995,2946,1170,6991.12,96.73700351302796,1.0955775149846103,0.04784791651149687
2020,CHA,,0.9260847332652526,1.0379888124688785,6098,6505,6505.177981861144,8,6221,1435,1057,962,2839,1095,6947.4,93.63215015689323,1.0667431944899968,-2.918692376909844e-05
2020,CHI,,0.9070267304056004,1.0233364011096624,6152,6800,6691.693013568605,8,6289,1262,1088,885,3003,994,7047.28,96.49112849212746,1.105331599479844,0.017605166845155194
2020,CLE,,0.8691697872943228,1.1022986222996807,5869,6005,6427.329433337758,8,6092,1601,1111,948,2752,1188,6959.4400000000005,86.2856781580127,1.0231726018060998,-0.0719593513950857
2020,DAL,,0.9511036167388028,1.0745233658451245,6084,6754,6643.220123049261,8,6192,1538,907,843,2914,1193,6932.72,97.4220796455071,1.1101249178172254,0.018208395291048486
2020,DEN,,0.9379062990871664,1.0918032703507603,6157,6932,6643.942027431134,8,6327,1406,949,955,3080,1119,6939.64,99.88990783383575,1.1258729900925775,0.04678544300290171
