TEAM_ABBREVIATION,N_SHOTS,PREMATURE,SHORTFALL_WHEN_BELOW,EXPOSURE_PER_SHOT,MEAN_SECOND,LATE_SHARE,EARLY_SHARE,MEAN_SHOT_VALUE,CURVE_LEVEL,CURVE_DROP_22_TO_2,N_POSS,PPP,OFFENSE_RANK,PREMATURE_RANK,EXPOSURE_RANK,REVIEW_FLAG
MIA,43073,0.09876256587653519,0.10210367983587128,0.010084021406026893,11.411348176351774,0.2602094119285864,0.2422863510784018,1.216444227445898,0.8542544172661674,0.3349231847945441,49244,1.1307773535862238,13,3,4,False
CLE,42469,0.07591419623725541,0.09742056782573945,0.007395604103468034,11.455650003531987,0.26581741976500506,0.257670300689915,1.2413278389471327,0.8657266937577014,0.2884314208515685,48745,1.128361883270079,14,18,21,False
WAS,45313,0.08807626950323307,0.10533869331073092,0.009277839141154352,12.220797563613091,0.21245558669697437,0.29587535585814223,1.1974346317046662,0.8230265924567891,0.3706230742975436,51741,1.1280802458398562,15,9,8,False
CHA,43945,0.09156900671293662,0.10054830686031888,0.00920710858586695,11.735851632722722,0.23037888269427695,0.25843668221640687,1.199366499647694,0.8350401689630776,0.3403174494186578,49665,1.1253800463102788,16,5,9,False
BKN,44990,0.0699044232051567,0.10617370260503767,0.0074220114401610015,12.090486774838853,0.21493665258946432,0.28330740164480994,1.2295976686165282,0.8263375211598101,0.3552337622878087,51626,1.1217409832255065,17,22,20,False
NOP,45641,0.08687364431103613,0.10502715023552768,0.009124091292562987,12.292872636445301,0.1949562893012861,0.28923555575031223,1.2075615139006093,0.82731364683492,0.3506318330997832,51791,1.1216813732115618,18,10,10,False
IND,44845,0.08105697402163006,0.09207457062852396,0.0074632860794890095,11.90440405842346,0.21946705318318654,0.26348533838778015,1.2122348529161002,0.8430092465688696,0.33110176893665366,50668,1.1207862950974974,19,16,19,False
OKC,45222,0.06837380036265535,0.09866793632368233,0.006746301780390645,12.320507717482641,0.2029100880102605,0.3006280129140684,1.222124560875495,0.8262677054932451,0.33401861834742197,51004,1.1203631087757824,20,25,26,False
MEM,44508,0.06967286779904736,0.09910274277767638,0.00690477229607204,11.590410712680866,0.25231419070728855,0.25736946166981217,1.2173777026745045,0.8348817874200191,0.30538496310766283,50177,1.1181617075552543,21,23,25,False
PHI,43975,0.0714269471290506,0.12428893126803743,0.008877578922408313,11.914383172256963,0.230062535531552,0.2771802160318363,1.2181378193793742,0.8285607918582616,0.29319482819364373,51146,1.1172330191999373,22,20,12,False
ATL,44445,0.058274271571605356,0.10794068533420417,0.006290164810790613,12.16058049274384,0.2034424569692879,0.27892901338733267,1.2358553524696874,0.8181906574720638,0.34938495088840726,50949,1.1172152544701563,23,30,28,False
PHX,45078,0.06839256400017747,0.10546882485766991,0.007213283354101696,12.111517813567595,0.21961932650073207,0.29444518390345625,1.2254119578170686,0.8242551713305941,0.32712228403845023,51537,1.11578089527912,24,24,24,False
SAC,44613,0.09192387869006792,0.10836514321822954,0.009961344279424368,12.07670409970188,0.21877031358572613,0.28597045704166946,1.1923520496799882,0.8264485585259814,0.3282408108624977,51027,1.1113332157485254,25,4,5,True
CHI,44265,0.09117813170676607,0.09841658897617911,0.008973440711800718,11.863978312436462,0.2285327007793968,0.26725403817914833,1.196744582049193,0.8319122560761358,0.3395488838599422,49714,1.107836826648429,26,7,11,False
DET,43363,0.09111454465788806,0.1120315239989311,0.010207701296491865,11.599428083850286,0.2491063810160736,0.25860756866452966,1.181326208544561,0.8280602302543437,0.327338597841057,49020,1.1068951448388413,27,8,3,True
LAL,44614,0.06394853633388622,0.10321661516420821,0.006600551465089121,12.13370242524768,0.22562424351100552,0.2977092392522527,1.2279259738806145,0.8206841187671693,0.3367529687341213,51421,1.1015927344859104,28,27,27,False
NYK,43785,0.08253968253968254,0.09294203728574825,0.007671406252157,11.53358456092269,0.248966541052872,0.24887518556583305,1.178618515704307,0.8215514834739132,0.338208997049822,49274,1.0990380322279498,29,13,18,False
ORL,45000,0.06171111111111111,0.09827914003804793,0.006064914930792424,11.74928888888889,0.2335111111111111,0.2604444444444444,1.1842502168495959,0.8028902156484902,0.3335436230218678,50505,1.0873378873378874,30,28,30,False
