PLAYER_ID,PLAYER_NAME,FGA_LATE,SURPLUS,SE,SHRUNK_SURPLUS
1627777,Georges Niang,100,0.5679944993854711,0.024051076528932753,0.5584189981457125
1642367,Jonathan Mogbo,77,0.5695909289626331,0.027408745457120444,0.5573634370262439
203999,Nikola Jokić,335,0.5581361002916818,0.01314050684181834,0.5554139923514824
1629130,Duncan Robinson,166,0.5584193190765738,0.0186672556917344,0.5531344874291454
1630245,Ayo Dosunmu,63,0.5664598671106069,0.030301508218542203,0.5526512610951402
1630173,Precious Achiuwa,87,0.561822600162832,0.025785460623011885,0.5519463372609882
1630182,Josh Green,84,0.5608535386832723,0.0262418758902405,0.5508269630744562
201939,Stephen Curry,213,0.553470110294111,0.016479526096822662,0.5496032335597888
203084,Harrison Barnes,146,0.5540962462018054,0.019904812562570946,0.5485630597488392
201572,Brook Lopez,192,0.5527625946949554,0.01735736938534952,0.5485556534184638
1629008,Michael Porter Jr.,187,0.5526844134656207,0.017587889036179787,0.5483793107804658
1631110,Jeremy Sochan,114,0.555404392119764,0.022525897030263912,0.5483468395996077
1627751,Jakob Poeltl,117,0.55413408213695,0.022235228116711664,0.5473826647309618
1627827,Dorian Finney-Smith,93,0.5547326667124154,0.024939804566767972,0.5463995209027424
1641824,Matas Buzelis,101,0.5537241975314541,0.023931715610874666,0.5460966512079721
1626167,Myles Turner,166,0.550169407611799,0.0186672556917344,0.5455761756030266
1628989,Kevin Huerter,127,0.5502320794445746,0.02134187931641359,0.5443723106584645
1631096,Chet Holmgren,64,0.5555930793866063,0.03006384566116594,0.5440432076861655
1630167,Obi Toppin,114,0.5504097300825743,0.022525897030263912,0.543939420185043
1628392,Isaiah Hartenstein,85,0.5514452396258094,0.02608705521226459,0.5429450957802152
1631212,Peyton Watson,97,0.549328170848412,0.024420168320987066,0.542023849848411
1627884,Derrick Jones Jr.,129,0.5473533388263754,0.021175792128005782,0.5418781035453776
201143,Al Horford,96,0.5490539096528549,0.024547027191880844,0.5417213621737508
1630183,Jaden McDaniels,225,0.5440509488152102,0.016034051019288502,0.5409729210220486
1630241,Sam Merrill,67,0.5508870561229394,0.029383066557106884,0.5406284820461664
1641739,Toumani Camara,149,0.5431820448949207,0.019703409615347996,0.5387596417482063
1630191,Isaiah Stewart,70,0.5479821205808852,0.028746534752671367,0.5386027611419224
1631128,Christian Braun,136,0.5430288004717515,0.020623627979330848,0.5382415331428204
1631260,AJ Green,111,0.5440541334781605,0.022828271593891784,0.5381950179544862
1630557,Corey Kispert,102,0.5438770637710503,0.023814114331066727,0.5375909257386592
1627752,Taurean Prince,110,0.5426524696972651,0.022931801701420115,0.536916617013889
1627734,Domantas Sabonis,166,0.5390942263871811,0.0186672556917344,0.535429439655149
1626168,Trey Lyles,71,0.5426800744760218,0.028543376484354076,0.5343439277113301
1642261,Dalton Knecht,133,0.5384004870414664,0.020854928236025156,0.5339907036531993
1629312,Haywood Highsmith,90,0.5400469032741682,0.02535206067014803,0.5335967166137883
1629013,Landry Shamet,68,0.5410398504055629,0.029166214393706914,0.5327025668515464
1630577,Julian Champagnie,130,0.535058389354969,0.02109418954266754,0.5309071291808419
1628960,Grayson Allen,130,0.5346328069324482,0.02109418954266754,0.5305260700312557
202692,Alec Burks,79,0.5369042408837367,0.02705957520694811,0.5302075593651572
202696,Nikola Vučević,175,0.5330455688466452,0.018180904931125324,0.5300372754478402
1628381,John Collins,101,0.5338494152636519,0.023931715610874666,0.5288200789293549
1630198,Isaiah Joe,88,0.5336337705765419,0.025638533725460357,0.5280025707498591
203083,Andre Drummond,65,0.5344806306188103,0.02983168893850915,0.527073872230859
1630534,Ochai Agbaji,95,0.5300408239991824,0.024675883863028356,0.525262635936173
1629640,Keldon Johnson,139,0.5281690205442079,0.020399856858726542,0.524938745742174
1631165,Keon Ellis,108,0.5281716295166272,0.023143159180466024,0.5241281498390841
1626145,Tyus Jones,168,0.5266791876345266,0.018555808393044826,0.524083816162908
1630572,Sandro Mamukelashvili,60,0.5297161034103854,0.03104980628497221,0.5227793066173011
1641709,Ausar Thompson,84,0.5251425792317538,0.0262418758902405,0.5205845851460691
1630217,Desmond Bane,176,0.5207642811064231,0.018129181056953016,0.5187474269152441
1628401,Derrick White,250,0.5200463820679098,0.015211236402088818,0.518633442118866
1628969,Mikal Bridges,301,0.5194059722911191,0.01386281004674807,0.518251698012834
1628978,Donte DiVincenzo,132,0.5201155840375024,0.020933775126838576,0.5175627648108646
1627747,Caris LeVert,108,0.5200916554631919,0.023143159180466024,0.5170444410410511
1630559,Austin Reaves,272,0.5154937665324528,0.014583107196853457,0.5144298499045996
101108,Chris Paul,115,0.5158618639480371,0.022427744506585547,0.5134719854842681
1642348,Justin Edwards,101,0.5154828102857248,0.023931715610874666,0.5128545214637004
202685,Jonas Valančiūnas,181,0.5142227870569104,0.01787702439489833,0.5127637871690025
203501,Tim Hardaway Jr.,136,0.5139150318240912,0.020623627979330848,0.512052693859894
203932,Aaron Gordon,99,0.5127333801168406,0.024172241409270687,0.5104247829460636
1631157,Ryan Rollins,60,0.5137960596032735,0.03104980628497221,0.5100753380510588
1631107,Nikola Jović,104,0.5119477000354373,0.02358402087383491,0.509836074590255
203552,Seth Curry,100,0.5114936844914886,0.024051076528932753,0.5093686001669655
1626179,Terry Rozier,161,0.5099010750094312,0.01895490369370489,0.5086490333388342
1627824,Guerschon Yabusele,157,0.509931301125032,0.01919484873506829,0.5086475078867992
1627741,Buddy Hield,150,0.5083044288821654,0.019637621753504673,0.5071158265123893
1630598,Aaron Wiggins,130,0.5083503887568425,0.02109418954266754,0.5069932468010456
202699,Tobias Harris,226,0.5072243262405993,0.0159985381273617,0.5064782799436466
202691,Klay Thompson,171,0.5074111680925629,0.018392317907540503,0.5064294984660442
1627739,Kris Dunn,121,0.5077874498246047,0.021864615026302502,0.5064034069045723
1631323,Simone Fontecchio,69,0.5087564865031997,0.028954093655666903,0.5063427495476021
1630533,Ziaire Williams,117,0.5075180151580839,0.022235228116711664,0.506123051195669
201144,Mike Conley,108,0.5076094422069024,0.023143159180466024,0.5061012915608977
1626166,Cameron Payne,87,0.5077734885149525,0.025785460623011885,0.5059310278141617
1630178,Tyrese Maxey,257,0.5059643384608129,0.015002649340619133,0.5053735729865576
203468,CJ McCollum,218,0.5057545265176806,0.016289444465955257,0.5050786244009946
202681,Kyrie Irving,217,0.5051639422922288,0.016326934606374226,0.5045237638902265
201950,Jrue Holiday,132,0.5050904269360006,0.020933775126838576,0.5040881399222069
1629631,De'Andre Hunter,136,0.5049954171074417,0.020623627979330848,0.5040291927080179
1629060,Rui Hachimura,125,0.5042231625881392,0.02151193682029733,0.5032647957404695
1630202,Payton Pritchard,228,0.5028949901338811,0.015928214542409527,0.5024254844466677
1641711,Gradey Dick,94,0.5035078391606697,0.024806791327337433,0.5023768903711362
1626220,Royce O'Neale,127,0.5023414716093182,0.02134187931641359,0.5015975957173398
1630541,Moses Moody,123,0.5009270929791289,0.02168612538720125,0.5003171488049403
1641708,Amen Thompson,139,0.4983203052693757,0.020399856858726542,0.49803045081473457
201142,Kevin Durant,287,0.4981059940324256,0.014196901588164751,0.4979688706558299
203954,Joel Embiid,91,0.498356231444079,0.02521237883211863,0.4979302172606869
1642346,Ryan Dunn,130,0.4976721616450392,0.02109418954266754,0.49743214670153724
203110,Draymond Green,112,0.49733253593118965,0.022726131163906652,0.4970991128247493
1630169,Tyrese Haliburton,175,0.49710811266787214,0.018180904931125324,0.4969699340849004
1629632,Coby White,192,0.4961735654606223,0.01735736938534952,0.49611523734384627
1629656,Quentin Grimes,145,0.4954176797203005,0.01997333191344243,0.4954139118061821
1628389,Bam Adebayo,302,0.4936033350132063,0.013839839343234793,0.4936883160118521
203994,Jusuf Nurkić,100,0.49281475458909,0.024051076528932753,0.4931527465151389
203484,Kentavious Caldwell-Pope,150,0.4926160950855982,0.019637621753504673,0.4928700495181112
1641783,Tristan da Silva,136,0.49119857708582026,0.020623627979330848,0.4916184591368584
1628973,Jalen Brunson,349,0.49102059850893065,0.012874246100837228,0.49120233105149
1629675,Naz Reid,174,0.490836537619233,0.0182330740625504,0.49120115022441413
1628380,Zach Collins,71,0.49000437345150577,0.028543376484354076,0.4909513679994397
1631099,Keegan Murray,150,0.49028183173852113,0.019637621753504673,0.4907504238446918
1630174,Aaron Nesmith,77,0.48953909424820513,0.027408745457120444,0.4905011155132853
1629639,Tyler Herro,263,0.4901498877219837,0.014830529120453387,0.4904353427784767
1641715,Cam Whitmore,71,0.48887886513875484,0.028543376484354076,0.4900242102071866
203897,Zach LaVine,220,0.48898559158914895,0.01621523248789937,0.4893984309308052
1642264,Stephon Castle,179,0.48871920703601324,0.017976618616186758,0.48924004722764236
1630583,Santi Aldama,97,0.4872814476509965,0.024420168320987066,0.4883776320403909
1628374,Lauri Markkanen,150,0.4870473366420384,0.019637621753504673,0.4878133435638234
1628398,Kyle Kuzma,188,0.4870488523273135,0.017541050367039936,0.4876714890822951
1629610,DaQuan Jeffries,64,0.4855742178114787,0.03006384566116594,0.4874546712891424
1626162,Kelly Oubre Jr.,176,0.4864960902542854,0.018129181056953016,0.4872017217931127
1641730,Noah Clowney,93,0.48585916954638514,0.024939804566767972,0.48719556399329694
1629004,Svi Mykhailiuk,71,0.4842836560316969,0.028543376484354076,0.4862388237445778
1630551,Justin Champagnie,60,0.4838038161715798,0.03104980628497221,0.4861419542988666
1642275,Tidjane Salaün,85,0.4842741526588956,0.02608705521226459,0.48595755486748854
1630172,Patrick Williams,97,0.48446503673478125,0.024420168320987066,0.48594253497704654
1629029,Luka Dončić,215,0.4836665507156137,0.016402698050903303,0.4844393405542295
1630228,Jonathan Kuminga,111,0.4824634333789836,0.022828271593891784,0.48401794288411615
1629018,Gary Trent Jr.,157,0.482733428386295,0.01919484873506829,0.4838488370254584
1627736,Malik Beasley,232,0.48285553698137584,0.015790305327251786,0.48362501483056025
201566,Russell Westbrook,152,0.4824164943514098,0.019507999071240994,0.48359405440715897
1642266,Ja'Kobe Walter,77,0.48060001749969544,0.027408745457120444,0.4830348603584844
1630526,Jeremiah Robinson-Earl,60,0.4795764782756905,0.03104980628497221,0.4827685987730312
1629661,Cameron Johnson,176,0.4812849902931223,0.018129181056953016,0.4824046251665032
1630230,Naji Marshall,137,0.48023473642402575,0.02054822140882555,0.48174610966285064
1630558,Davion Mitchell,116,0.4794536662743397,0.022330863947811613,0.48129740466218723
1630530,Trey Murphy III,154,0.47934104648995834,0.019380909776545847,0.48078079102018045
