PLAYER_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,AGE,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT,SHOT_CLOCK_RANGE
1641708,Amen Thompson,1610612745,HOU,22.0,69,31,0.057,0.41,0.58,0.7,0.7,0.057,0.41,0.58,0.7,0.0,0.0,0.0,,24-22
1630583,Santi Aldama,1610612763,MEM,24.0,64,27,0.058,0.41,0.58,0.703,0.703,0.055,0.41,0.55,0.743,0.003,0.0,0.03,0.0,24-22
1629655,Daniel Gafford,1610612742,DAL,26.0,57,25,0.082,0.4,0.58,0.697,0.697,0.082,0.4,0.58,0.697,0.0,0.0,0.0,,24-22
1629627,Zion Williamson,1610612740,NOP,24.0,30,13,0.033,0.4,0.57,0.706,0.706,0.033,0.4,0.57,0.706,0.0,0.0,0.0,,24-22
1631255,Karlo Matković,1610612740,NOP,24.0,42,19,0.102,0.38,0.57,0.667,0.667,0.102,0.38,0.57,0.667,0.0,0.0,0.0,,24-22
1631110,Jeremy Sochan,1610612759,SAS,22.0,54,23,0.066,0.28,0.57,0.484,0.484,0.066,0.28,0.57,0.484,0.0,0.0,0.0,,24-22
1628374,Lauri Markkanen,1610612762,UTA,28.0,47,22,0.039,0.28,0.57,0.481,0.481,0.037,0.28,0.55,0.5,0.001,0.0,0.02,0.0,24-22
1631096,Chet Holmgren,1610612760,OKC,23.0,32,14,0.053,0.47,0.56,0.833,0.833,0.053,0.47,0.56,0.833,0.0,0.0,0.0,,24-22
1630552,Jalen Johnson,1610612737,ATL,23.0,36,15,0.037,0.33,0.56,0.6,0.625,0.035,0.31,0.53,0.579,0.002,0.03,0.03,1.0,24-22
1628384,OG Anunoby,1610612752,NYK,27.0,73,32,0.04,0.37,0.55,0.675,0.713,0.036,0.33,0.49,0.667,0.004,0.04,0.05,0.75,24-22
1627884,Derrick Jones Jr.,1610612746,LAC,28.0,77,33,0.071,0.34,0.55,0.619,0.619,0.068,0.34,0.52,0.65,0.003,0.0,0.03,0.0,24-22
1628449,Chris Boucher,1610612761,TOR,32.0,50,22,0.073,0.38,0.54,0.704,0.704,0.073,0.38,0.54,0.704,0.0,0.0,0.0,,24-22
202710,Jimmy Butler III,1610612744,GSW,35.0,55,19,0.049,0.35,0.53,0.655,0.655,0.049,0.35,0.53,0.655,0.0,0.0,0.0,,24-22
1627783,Pascal Siakam,1610612754,IND,31.0,78,29,0.035,0.33,0.53,0.634,0.634,0.034,0.33,0.51,0.65,0.001,0.0,0.01,0.0,24-22
1629008,Michael Porter Jr.,1610612743,DEN,27.0,77,30,0.04,0.31,0.53,0.585,0.622,0.035,0.27,0.47,0.583,0.005,0.04,0.06,0.6,24-22
1630173,Precious Achiuwa,1610612752,NYK,25.0,56,23,0.089,0.25,0.52,0.483,0.483,0.089,0.25,0.52,0.483,0.0,0.0,0.0,,24-22
1630596,Evan Mobley,1610612739,CLE,24.0,71,27,0.04,0.35,0.51,0.694,0.694,0.039,0.35,0.49,0.714,0.001,0.0,0.01,0.0,24-22
1630567,Scottie Barnes,1610612761,TOR,23.0,65,29,0.031,0.28,0.51,0.545,0.545,0.028,0.28,0.46,0.6,0.003,0.0,0.05,0.0,24-22
1631386,Taze Moore,1610612757,POR,27.0,2,1,0.1,0.5,0.5,1.0,1.0,0.1,0.5,0.5,1.0,0.0,0.0,0.0,,24-22
1631093,Jaden Ivey,1610612765,DET,23.0,30,15,0.036,0.37,0.5,0.733,0.767,0.029,0.33,0.4,0.833,0.007,0.03,0.1,0.333,24-22
202687,Bismack Biyombo,1610612759,SAS,32.0,28,9,0.123,0.25,0.5,0.5,0.5,0.123,0.25,0.5,0.5,0.0,0.0,0.0,,24-22
1630163,LaMelo Ball,1610612766,CHA,23.0,47,18,0.022,0.3,0.47,0.636,0.682,0.018,0.26,0.38,0.667,0.004,0.04,0.09,0.5,24-22
1629674,Neemias Queta,1610612738,BOS,25.0,62,20,0.146,0.24,0.47,0.517,0.517,0.146,0.24,0.47,0.517,0.0,0.0,0.0,,24-22
1629020,Jarred Vanderbilt,1610612747,LAL,26.0,36,12,0.14,0.22,0.47,0.471,0.471,0.14,0.22,0.47,0.471,0.0,0.0,0.0,,24-22
1629646,Charles Bassey,1610612759,SAS,24.0,36,12,0.145,0.17,0.47,0.353,0.353,0.145,0.17,0.47,0.353,0.0,0.0,0.0,,24-22
1628404,Josh Hart,1610612752,NYK,30.0,76,27,0.046,0.33,0.46,0.714,0.714,0.046,0.33,0.46,0.714,0.0,0.0,0.0,,24-22
1631101,Shaedon Sharpe,1610612757,POR,22.0,72,27,0.03,0.33,0.46,0.727,0.742,0.029,0.32,0.44,0.719,0.001,0.01,0.01,1.0,24-22
1630166,Deni Avdija,1610612757,POR,24.0,72,22,0.039,0.25,0.46,0.545,0.545,0.036,0.25,0.42,0.6,0.004,0.0,0.04,0.0,24-22
1629057,Robert Williams III,1610612757,POR,27.0,20,8,0.115,0.3,0.45,0.667,0.667,0.115,0.3,0.45,0.667,0.0,0.0,0.0,,24-22
1629637,Jaxson Hayes,1610612747,LAL,25.0,56,20,0.112,0.3,0.45,0.68,0.68,0.112,0.3,0.45,0.68,0.0,0.0,0.0,,24-22
203482,Kelly Olynyk,1610612740,NOP,34.0,44,14,0.075,0.23,0.45,0.5,0.5,0.071,0.23,0.43,0.526,0.004,0.0,0.02,0.0,24-22
1641726,Dereck Lively II,1610612742,DAL,21.0,36,14,0.084,0.33,0.44,0.75,0.75,0.084,0.33,0.44,0.75,0.0,0.0,0.0,,24-22
1641798,Jaylen Martin,1610612764,WAS,21.0,16,5,0.095,0.25,0.44,0.571,0.571,0.095,0.25,0.44,0.571,0.0,0.0,0.0,,24-22
1628976,Wendell Carter Jr.,1610612753,ORL,26.0,68,23,0.061,0.25,0.44,0.567,0.567,0.061,0.25,0.44,0.567,0.0,0.0,0.0,,24-22
1629640,Keldon Johnson,1610612759,SAS,25.0,77,27,0.044,0.23,0.44,0.529,0.529,0.044,0.23,0.44,0.529,0.0,0.0,0.0,,24-22
1631232,Keion Brooks Jr.,1610612740,NOP,24.0,14,5,0.055,0.43,0.43,1.0,1.0,0.055,0.43,0.43,1.0,0.0,0.0,0.0,,24-22
1641737,Adem Bona,1610612755,PHI,22.0,58,19,0.13,0.29,0.43,0.68,0.68,0.13,0.29,0.43,0.68,0.0,0.0,0.0,,24-22
1628396,Tony Bradley,1610612754,IND,27.0,14,4,0.133,0.29,0.43,0.667,0.667,0.133,0.29,0.43,0.667,0.0,0.0,0.0,,24-22
1642271,Kyle Filipowski,1610612762,UTA,21.0,72,23,0.06,0.28,0.43,0.645,0.645,0.06,0.28,0.43,0.645,0.0,0.0,0.0,,24-22
203903,Jordan Clarkson,1610612762,UTA,33.0,37,14,0.033,0.24,0.43,0.563,0.563,0.026,0.24,0.35,0.692,0.006,0.0,0.08,0.0,24-22
1628963,Marvin Bagley III,1610612763,MEM,26.0,31,7,0.123,0.32,0.42,0.769,0.769,0.123,0.32,0.42,0.769,0.0,0.0,0.0,,24-22
1628970,Miles Bridges,1610612766,CHA,27.0,64,23,0.025,0.27,0.42,0.63,0.63,0.023,0.27,0.39,0.68,0.002,0.0,0.03,0.0,24-22
1641731,Bilal Coulibaly,1610612764,WAS,20.0,59,17,0.04,0.25,0.42,0.6,0.62,0.037,0.24,0.39,0.609,0.003,0.02,0.03,0.5,24-22
1628418,Thomas Bryant,1610612754,IND,27.0,66,18,0.087,0.24,0.42,0.571,0.571,0.087,0.24,0.42,0.571,0.0,0.0,0.0,,24-22
1631217,Moussa Diabaté,1610612766,CHA,23.0,71,21,0.107,0.23,0.42,0.533,0.533,0.107,0.23,0.42,0.533,0.0,0.0,0.0,,24-22
1630533,Ziaire Williams,1610612751,BKN,23.0,63,21,0.05,0.3,0.41,0.731,0.731,0.05,0.3,0.41,0.731,0.0,0.0,0.0,,24-22
201566,Russell Westbrook,1610612743,DEN,36.0,75,28,0.038,0.29,0.41,0.71,0.726,0.036,0.28,0.39,0.724,0.002,0.01,0.03,0.5,24-22
1628981,Bruno Fernando,1610612761,TOR,26.0,17,5,0.143,0.24,0.41,0.571,0.571,0.143,0.24,0.41,0.571,0.0,0.0,0.0,,24-22
202681,Kyrie Irving,1610612742,DAL,33.0,50,15,0.021,0.3,0.4,0.75,0.825,0.016,0.24,0.3,0.8,0.005,0.06,0.1,0.6,24-22
1629634,Brandon Clarke,1610612763,MEM,28.0,63,21,0.066,0.27,0.4,0.68,0.68,0.066,0.27,0.4,0.68,0.0,0.0,0.0,,24-22
1630183,Jaden McDaniels,1610612750,MIN,24.0,82,27,0.04,0.23,0.4,0.576,0.576,0.04,0.23,0.4,0.576,0.0,0.0,0.0,,24-22
1630543,Isaiah Jackson,1610612754,IND,23.0,5,2,0.087,0.2,0.4,0.5,0.5,0.087,0.2,0.4,0.5,0.0,0.0,0.0,,24-22
1631095,Jabari Smith Jr.,1610612745,HOU,22.0,57,18,0.041,0.19,0.4,0.478,0.478,0.041,0.19,0.4,0.478,0.0,0.0,0.0,,24-22
1628368,De'Aaron Fox,1610612759,SAS,27.0,62,20,0.021,0.24,0.39,0.625,0.667,0.018,0.21,0.34,0.619,0.003,0.03,0.05,0.667,24-22
1628464,Daniel Theis,1610612740,NOP,33.0,38,11,0.116,0.21,0.39,0.533,0.533,0.116,0.21,0.39,0.533,0.0,0.0,0.0,,24-22
1631218,Trayce Jackson-Davis,1610612744,GSW,25.0,62,20,0.079,0.1,0.39,0.25,0.25,0.079,0.1,0.39,0.25,0.0,0.0,0.0,,24-22
201572,Brook Lopez,1610612749,MIL,37.0,80,25,0.039,0.26,0.38,0.7,0.7,0.039,0.26,0.38,0.7,0.0,0.0,0.0,,24-22
1630526,Jeremiah Robinson-Earl,1610612740,NOP,24.0,66,21,0.072,0.24,0.38,0.64,0.64,0.072,0.24,0.38,0.64,0.0,0.0,0.0,,24-22
1642264,Stephon Castle,1610612759,SAS,20.0,81,25,0.031,0.22,0.38,0.581,0.613,0.029,0.2,0.36,0.552,0.002,0.02,0.02,1.0,24-22
1630598,Aaron Wiggins,1610612760,OKC,26.0,76,22,0.04,0.21,0.38,0.552,0.586,0.036,0.18,0.34,0.538,0.004,0.03,0.04,0.667,24-22
1630692,Jordan Goodwin,1610612747,LAL,26.0,29,7,0.076,0.17,0.38,0.455,0.455,0.076,0.17,0.38,0.455,0.0,0.0,0.0,,24-22
1641706,Brandon Miller,1610612766,CHA,22.0,27,9,0.02,0.33,0.37,0.9,1.0,0.016,0.26,0.3,0.875,0.004,0.07,0.07,1.0,24-22
1631099,Keegan Murray,1610612758,SAC,24.0,76,20,0.034,0.26,0.37,0.714,0.732,0.033,0.25,0.36,0.704,0.001,0.01,0.01,1.0,24-22
1627759,Jaylen Brown,1610612738,BOS,28.0,63,20,0.021,0.22,0.37,0.609,0.63,0.02,0.21,0.35,0.591,0.001,0.02,0.02,1.0,24-22
1631197,Jared Rhoden,1610612761,TOR,25.0,14,4,0.057,0.29,0.36,0.8,0.8,0.057,0.29,0.36,0.8,0.0,0.0,0.0,,24-22
203944,Julius Randle,1610612750,MIN,30.0,69,22,0.027,0.28,0.36,0.76,0.76,0.027,0.28,0.36,0.76,0.0,0.0,0.0,,24-22
2544,LeBron James,1610612747,LAL,40.0,70,21,0.02,0.27,0.36,0.76,0.76,0.019,0.27,0.34,0.792,0.001,0.0,0.01,0.0,24-22
1630228,Jonathan Kuminga,1610612744,GSW,22.0,47,15,0.03,0.23,0.36,0.647,0.647,0.03,0.23,0.36,0.647,0.0,0.0,0.0,,24-22
203078,Bradley Beal,1610612756,PHX,32.0,53,14,0.027,0.19,0.36,0.526,0.553,0.024,0.17,0.32,0.529,0.003,0.02,0.04,0.5,24-22
1631115,Orlando Robinson,1610612761,TOR,24.0,44,12,0.061,0.18,0.36,0.5,0.5,0.061,0.18,0.36,0.5,0.0,0.0,0.0,,24-22
1631200,Kris Murray,1610612757,POR,24.0,69,19,0.09,0.17,0.36,0.48,0.5,0.086,0.16,0.35,0.458,0.004,0.01,0.01,1.0,24-22
1642259,Alex Sarr,1610612764,WAS,20.0,67,20,0.029,0.16,0.36,0.458,0.458,0.028,0.16,0.34,0.478,0.001,0.0,0.01,0.0,24-22
1628371,Jonathan Isaac,1610612753,ORL,27.0,71,18,0.077,0.23,0.35,0.64,0.64,0.077,0.23,0.35,0.64,0.0,0.0,0.0,,24-22
1630639,A.J. Lawson,1610612761,TOR,24.0,26,8,0.047,0.19,0.35,0.556,0.556,0.047,0.19,0.35,0.556,0.0,0.0,0.0,,24-22
1630658,Colin Castleton,1610612761,TOR,25.0,26,6,0.092,0.19,0.35,0.556,0.556,0.092,0.19,0.35,0.556,0.0,0.0,0.0,,24-22
202695,Kawhi Leonard,1610612746,LAC,34.0,37,12,0.021,0.19,0.35,0.538,0.538,0.021,0.19,0.35,0.538,0.0,0.0,0.0,,24-22
203952,Andrew Wiggins,1610612748,MIA,30.0,60,15,0.025,0.12,0.35,0.333,0.333,0.025,0.12,0.35,0.333,0.0,0.0,0.0,,24-22
1630529,Herbert Jones,1610612740,NOP,26.0,20,7,0.041,0.05,0.35,0.143,0.143,0.041,0.05,0.35,0.143,0.0,0.0,0.0,,24-22
1630188,Jalen Smith,1610612741,CHI,25.0,64,18,0.054,0.28,0.34,0.818,0.818,0.054,0.28,0.34,0.818,0.0,0.0,0.0,,24-22
1630534,Ochai Agbaji,1610612761,TOR,25.0,64,19,0.041,0.22,0.34,0.636,0.636,0.041,0.22,0.34,0.636,0.0,0.0,0.0,,24-22
1629639,Tyler Herro,1610612748,MIA,25.0,77,19,0.019,0.21,0.34,0.615,0.654,0.015,0.18,0.26,0.7,0.004,0.03,0.08,0.333,24-22
1630591,Jalen Suggs,1610612753,ORL,24.0,35,10,0.025,0.2,0.34,0.583,0.583,0.019,0.2,0.26,0.778,0.006,0.0,0.09,0.0,24-22
1630178,Tyrese Maxey,1610612755,PHI,24.0,52,16,0.016,0.27,0.33,0.824,0.853,0.014,0.25,0.29,0.867,0.002,0.02,0.04,0.5,24-22
1630194,Paul Reed,1610612765,DET,26.0,45,12,0.106,0.27,0.33,0.8,0.8,0.106,0.27,0.33,0.8,0.0,0.0,0.0,,24-22
1631094,Paolo Banchero,1610612753,ORL,22.0,46,12,0.016,0.24,0.33,0.733,0.767,0.014,0.22,0.28,0.769,0.002,0.02,0.04,0.5,24-22
1629006,Josh Okogie,1610612766,CHA,26.0,40,10,0.061,0.23,0.33,0.692,0.692,0.061,0.23,0.33,0.692,0.0,0.0,0.0,,24-22
1629012,Collin Sexton,1610612762,UTA,26.0,63,18,0.024,0.17,0.33,0.524,0.524,0.023,0.17,0.32,0.55,0.001,0.0,0.02,0.0,24-22
1631342,Daeqwon Plowden,1610612737,ATL,26.0,6,1,0.08,0.17,0.33,0.5,0.5,0.08,0.17,0.33,0.5,0.0,0.0,0.0,,24-22
203932,Aaron Gordon,1610612743,DEN,29.0,51,15,0.034,0.12,0.33,0.353,0.353,0.034,0.12,0.33,0.353,0.0,0.0,0.0,,24-22
1641707,Taylor Hendricks,1610612762,UTA,21.0,3,1,0.056,0.0,0.33,0.0,0.0,0.056,0.0,0.33,0.0,0.0,0.0,0.0,,24-22
1628983,Shai Gilgeous-Alexander,1610612760,OKC,26.0,76,20,0.014,0.25,0.32,0.792,0.813,0.014,0.24,0.3,0.783,0.001,0.01,0.01,1.0,24-22
1629750,Javonte Green,1610612739,CLE,31.0,68,21,0.076,0.21,0.32,0.636,0.636,0.073,0.21,0.31,0.667,0.003,0.0,0.01,0.0,24-22
1630530,Trey Murphy III,1610612740,NOP,25.0,53,13,0.02,0.19,0.32,0.588,0.588,0.018,0.19,0.28,0.667,0.002,0.0,0.04,0.0,24-22
1642348,Justin Edwards,1610612755,PHI,21.0,44,10,0.037,0.16,0.32,0.5,0.5,0.037,0.16,0.32,0.5,0.0,0.0,0.0,,24-22
1641763,Julian Phillips,1610612741,CHI,21.0,79,16,0.087,0.16,0.32,0.52,0.52,0.087,0.16,0.32,0.52,0.0,0.0,0.0,,24-22
1628969,Mikal Bridges,1610612752,NYK,28.0,81,23,0.021,0.26,0.31,0.84,0.86,0.019,0.25,0.27,0.909,0.003,0.01,0.04,0.333,24-22
1642258,Zaccharie Risacher,1610612737,ATL,20.0,75,18,0.029,0.17,0.31,0.565,0.587,0.028,0.16,0.29,0.545,0.001,0.01,0.01,1.0,24-22
1630544,Tre Mann,1610612766,CHA,24.0,13,3,0.025,0.15,0.31,0.5,0.5,0.025,0.15,0.31,0.5,0.0,0.0,0.0,,24-22
203994,Jusuf Nurkić,1610612766,CHA,30.0,51,11,0.045,0.14,0.31,0.438,0.438,0.045,0.14,0.31,0.438,0.0,0.0,0.0,,24-22
1631246,Vince Williams Jr.,1610612763,MEM,24.0,26,7,0.05,0.12,0.31,0.375,0.375,0.05,0.12,0.31,0.375,0.0,0.0,0.0,,24-22
1629021,Moritz Wagner,1610612753,ORL,28.0,30,7,0.036,0.2,0.3,0.667,0.667,0.036,0.2,0.3,0.667,0.0,0.0,0.0,,24-22
